,first_player_AI,result,moves,player1Score,player2Score
0,False,1,"['7L', '4L', '7L', '0L', '10L', '1L', '6R', '2R', '6L', '4R', '9L']",-2,44
1,False,1,"['7L', '4R', '6R', '1L', '10L', '3L', '9L', '0R', '10L', '4R', '9L', '3R', '6L', '3L', '8R', '0R', '10R', '4L', '9L', '3R', '8R']",3,55
2,False,1,"['9R', '4L', '7R', '4L', '8L', '2R', '6L', '2R', '9L', '0R', '10R', '1L', '6L', '4L', '7L', '2R', '7R', '4L', '8L']",12,46
3,False,1,"['7L', '4R', '6R', '3L', '8R', '0L', '6L', '3L', '8R']",4,40
4,False,1,"['7L', '4L', '7L', '0R', '10L', '3L', '7L', '0R', '10R', '4R', '7R', '2R', '8L', '0L', '7R', '1R', '8R']",-8,62
5,False,1,"['9R', '2R', '8R', '0R', '7R', '1R', '10R', '3L', '8L', '0L', '6L', '3L', '7R', '4L', '9L', '0R', '8L', '1L', '6L', '0L', '7R', '2R', '8L']",-4,61
6,False,1,"['7L', '0L', '10R', '4R', '6R', '1L', '8L', '0R', '10R', '2L', '6L', '0R', '6L', '3R', '10R', '4R', '10L', '2R', '6R']",8,52
7,False,1,"['7L', '0R', '9L', '1R', '7L', '2R', '10R', '4L', '8L', '4L', '10R', '0L', '8R']",4,51
8,False,1,"['9R', '2L', '6L', '0L', '9R', '0R', '6R', '4R', '6L', '4L', '7R', '1R', '8L', '2L', '9L', '0L', '8L', '4R', '6R']",-12,72
9,False,1,"['9R', '1R', '10R', '3L', '6R', '1L', '8R', '2R', '10L', '0L', '10R', '2R', '6R', '3L', '7R']",0,54
