,result,max_time,min_time,total_thinking_time,total_move,thinking_time
0,1,0.115002155,0.011002779,0.36800647,8,"0.0670022964477539,0.07100820541381836,0.11500215530395508,0.03899788856506348,0.03398871421813965,0.015007972717285156,0.015996456146240234,0.011002779006958008"
1,1,0.11099219,0.022991657,0.3319645,5,"0.10099053382873535,0.1109921932220459,0.056990861892700195,0.022991657257080078,0.03999924659729004"
2,1,0.11900306,0.004983902,0.81897736,12,"0.1190030574798584,0.05099987983703613,0.09900188446044922,0.10900020599365234,0.08799505233764648,0.04199934005737305,0.03699898719787598,0.1149895191192627,0.08300995826721191,0.03498959541320801,0.03600597381591797,0.0049839019775390625"
3,1,0.08799195,0.004997492,0.5852275,12,"0.08799195289611816,0.07900047302246094,0.08019757270812988,0.060056209564208984,0.03599429130554199,0.06799912452697754,0.03999805450439453,0.06799864768981934,0.019001245498657227,0.017001867294311523,0.024990558624267578,0.0049974918365478516"
4,1,0.17102122,0.003998041,0.47213697,10,"0.0683290958404541,0.11281585693359375,0.1710212230682373,0.026999950408935547,0.04098176956176758,0.019999980926513672,0.0039980411529541016,0.012000799179077148,0.009986639022827148,0.006003618240356445"
5,1,0.0919683,0.011000633,0.37494826,8,"0.09196829795837402,0.09099531173706055,0.04799914360046387,0.07399630546569824,0.021991968154907227,0.011000633239746094,0.022992849349975586,0.014003753662109375"
6,1,0.18206954,0.011002541,0.38814902,5,"0.1820695400238037,0.08608436584472656,0.07799124717712402,0.03100132942199707,0.011002540588378906"
7,1,0.102997065,0.0089998245,0.4629786,10,"0.1029970645904541,0.09299755096435547,0.07499980926513672,0.05899858474731445,0.03098917007446289,0.02500462532043457,0.008999824523925781,0.042996883392333984,0.014999151229858398,0.00999593734741211"
8,1,0.11400342,0.0039978027,0.63845444,11,"0.11400341987609863,0.09800028800964355,0.08850836753845215,0.09799742698669434,0.034970998764038086,0.05499887466430664,0.058999061584472656,0.03399252891540527,0.003997802734375,0.03299307823181152,0.019992589950561523"
9,1,0.07699919,0.03099966,0.23399639,4,"0.07699918746948242,0.06899905204772949,0.03099966049194336,0.056998491287231445"
