,result,max_time,min_time,total_thinking_time,total_move,thinking_time
0,1,0.19202065,0.019994736,0.5630269,10,"0.19202065467834473,0.05701947212219238,0.041998863220214844,0.05199766159057617,0.04599499702453613,0.045995235443115234,0.03600025177001953,0.023001432418823242,0.019994735717773438,0.04900360107421875"
1,1,0.14103484,0.008004904,0.55600524,8,"0.14103484153747559,0.13599205017089844,0.07300114631652832,0.0889902114868164,0.041986703872680664,0.04300189018249512,0.023993492126464844,0.008004903793334961"
2,1,0.1750133,0.034991264,0.44199705,5,"0.17501330375671387,0.05899786949157715,0.06000113487243652,0.11299347877502441,0.03499126434326172"
3,1,0.15209985,0.01800847,0.530087,6,"0.1520998477935791,0.12899303436279297,0.08998274803161621,0.10801100730895996,0.032991886138916016,0.01800847053527832"
4,1,0.17898893,0.03101778,0.44636488,5,"0.13736939430236816,0.17898893356323242,0.06299376487731934,0.031017780303955078,0.0359950065612793"
5,1,0.16100478,0.0069909096,0.5209625,8,"0.16100478172302246,0.06199955940246582,0.10599684715270996,0.08300590515136719,0.04597735404968262,0.01699376106262207,0.006990909576416016,0.03899335861206055"
6,1,0.1620214,0.056997538,0.37302017,4,"0.16202139854431152,0.06399774551391602,0.05699753761291504,0.09000349044799805"
7,1,0.17486191,0.01998949,0.5937948,7,"0.17486190795898438,0.08199119567871094,0.052970170974731445,0.07799339294433594,0.04699826240539551,0.1389904022216797,0.019989490509033203"
8,1,0.18601155,0.02300787,0.44018412,6,"0.18601155281066895,0.08818626403808594,0.03799557685852051,0.06299686431884766,0.04198598861694336,0.023007869720458984"
9,1,0.1710031,0.040991545,0.43098283,5,"0.17100310325622559,0.1069939136505127,0.06499838829040527,0.04099154472351074,0.04699587821960449"
